"A"	"B"	"type"
"NEUROG1"	"SMAD1"	"Phenotypic Suppression"
"NEUROG1"	"EP300"	"Phenotypic Enhancement"
"NEUROG1"	"SMAD1"	"Phenotypic Enhancement"
"BIRC5"	"AURKB"	"Phenotypic Enhancement"
"RPS6KA5"	"MAPK1"	"Phenotypic Enhancement"
"RPS6KA5"	"MAPK11"	"Phenotypic Enhancement"
"RPS6KA5"	"EGF"	"Phenotypic Enhancement"
"MAPKAPK2"	"EGF"	"Phenotypic Enhancement"
"RPS6KA4"	"MAPK14"	"Phenotypic Enhancement"
"KAT2B"	"MDM2"	"Phenotypic Suppression"
"NOTCH1"	"NOTCH3"	"Phenotypic Suppression"
"KLF13"	"CREBBP"	"Phenotypic Enhancement"
"SUV39H1"	"SBF1"	"Synthetic Rescue"
"CBX4"	"RB1"	"Phenotypic Enhancement"
"PRMT1"	"CARM1"	"Phenotypic Enhancement"
"BRCA1"	"CREBBP"	"Phenotypic Suppression"
"BRCA1"	"EP300"	"Phenotypic Suppression"
"MYOD1"	"EP300"	"Phenotypic Enhancement"
"MYOD1"	"CREBBP"	"Phenotypic Enhancement"
"MEF2C"	"EP300"	"Phenotypic Enhancement"
"RELA"	"CREBBP"	"Phenotypic Enhancement"
"RELA"	"EP300"	"Phenotypic Enhancement"
"NEUROD1"	"CCND1"	"Phenotypic Suppression"
"PTMA"	"EP300"	"Phenotypic Enhancement"
"CEBPB"	"EP300"	"Phenotypic Enhancement"
"PPP1CA"	"SMARCB1"	"Phenotypic Enhancement"
"PPP1CB"	"SMARCB1"	"Phenotypic Enhancement"
"PPP1CC"	"SMARCB1"	"Phenotypic Enhancement"
"PMCH"	"NPY"	"Phenotypic Enhancement"
"VAV1"	"PRKCQ"	"Phenotypic Enhancement"
"TP53"	"PLAGL1"	"Phenotypic Enhancement"
"EPS15"	"AGFG1"	"Phenotypic Enhancement"
"EPS15L1"	"AGFG1"	"Phenotypic Enhancement"
"EPHB2"	"STK26"	"Phenotypic Enhancement"
"RHOA"	"CRMP1"	"Phenotypic Suppression"
"RHOA"	"DPYSL2"	"Phenotypic Suppression"
"PLD1"	"AMPH"	"Phenotypic Suppression"
"PLD1"	"BIN1"	"Phenotypic Suppression"
"PLD2"	"AMPH"	"Phenotypic Suppression"
"PLD2"	"BIN1"	"Phenotypic Suppression"
"MAPK3"	"BRAF"	"Phenotypic Enhancement"
"TFE3"	"MITF"	"Phenotypic Enhancement"
"ADD1"	"CALM1"	"Phenotypic Suppression"
"RB1"	"CCND1"	"Phenotypic Suppression"
"TAF1"	"RB1"	"Phenotypic Suppression"
"EIF2AK3"	"DNAJC3"	"Phenotypic Suppression"
"GNAS"	"ADCY6"	"Phenotypic Enhancement"
"RELA"	"FOS"	"Phenotypic Enhancement"
"RELA"	"JUN"	"Phenotypic Enhancement"
"RAC1"	"TEC"	"Phenotypic Enhancement"
"ZAP70"	"FYN"	"Phenotypic Enhancement"
"GRAP2"	"MAP4K1"	"Phenotypic Enhancement"
"STAT6"	"EP300"	"Phenotypic Enhancement"
"STAT6"	"CREBBP"	"Phenotypic Enhancement"
"PAX6"	"RAX"	"Phenotypic Enhancement"
"AURKA"	"TP53"	"Phenotypic Suppression"
"AXIN1"	"CSNK1E"	"Phenotypic Suppression"
"AXIN1"	"CSNK1A1"	"Phenotypic Suppression"
"RARA"	"TADA3"	"Phenotypic Enhancement"
"SP4"	"SP1"	"Phenotypic Enhancement"
"SP4"	"SP3"	"Phenotypic Suppression"
"MAP3K5"	"DUSP19"	"Phenotypic Enhancement"
"NR2F2"	"HDAC1"	"Phenotypic Enhancement"
"POLA1"	"RBMS1"	"Phenotypic Enhancement"
"HLA-B"	"KIR3DS1"	"Phenotypic Enhancement"
"MTOR"	"PDK1"	"Phenotypic Enhancement"
"MAP2K4"	"MAP2K7"	"Phenotypic Enhancement"
"CEBPB"	"NOLC1"	"Phenotypic Enhancement"
"MAPK8"	"SH2D3A"	"Phenotypic Enhancement"
"NFIX"	"SKI"	"Phenotypic Enhancement"
"AR"	"UBE2I"	"Phenotypic Enhancement"
"NCOR1"	"NR1D1"	"Phenotypic Enhancement"
"NCOR1"	"NR1D2"	"Phenotypic Enhancement"
"CSRP3"	"MYOD1"	"Phenotypic Enhancement"
"RELA"	"TBP"	"Phenotypic Enhancement"
"MTBP"	"MDM2"	"Phenotypic Suppression"
"KIF20B"	"PIN1"	"Phenotypic Suppression"
"PRKRA"	"EIF2AK2"	"Phenotypic Enhancement"
"CASP2"	"BCL2"	"Phenotypic Suppression"
"CASP2"	"BCL2L1"	"Phenotypic Suppression"
"CASP2"	"CASP9"	"Phenotypic Suppression"
"CASP8"	"BCL2"	"Phenotypic Suppression"
"CASP8"	"BCL2L1"	"Phenotypic Suppression"
"CASP8"	"CASP9"	"Phenotypic Suppression"
"CASP2"	"XIAP"	"Phenotypic Suppression"
"CASP8"	"XIAP"	"Phenotypic Suppression"
"SNW1"	"SMAD2"	"Phenotypic Enhancement"
"SNW1"	"SMAD3"	"Phenotypic Enhancement"
"SNW1"	"SMAD4"	"Phenotypic Enhancement"
"SNW1"	"SKI"	"Phenotypic Suppression"
"SNW1"	"SKIL"	"Phenotypic Suppression"
"STRAP"	"SMAD7"	"Phenotypic Enhancement"
"SMAD7"	"SMAD3"	"Phenotypic Suppression"
"SMAD2"	"STRAP"	"Phenotypic Suppression"
"SMAD2"	"SMAD3"	"Phenotypic Enhancement"
"SMAD2"	"SMAD7"	"Phenotypic Suppression"
"SMAD3"	"SMAD7"	"Phenotypic Suppression"
"SMAD4"	"SMAD7"	"Phenotypic Suppression"
"LCP2"	"GRAP2"	"Phenotypic Enhancement"
"TP53"	"BAG1"	"Phenotypic Suppression"
"CIB1"	"PSEN2"	"Phenotypic Enhancement"
"PTK2B"	"RB1CC1"	"Phenotypic Suppression"
"KHDRBS1"	"HNRNPK"	"Phenotypic Suppression"
"HNRNPK"	"KHDRBS1"	"Phenotypic Suppression"
"CASP8"	"NOL3"	"Phenotypic Suppression"
"FADD"	"NOL3"	"Phenotypic Suppression"
"TRADD"	"NOL3"	"Phenotypic Suppression"
"CFLAR"	"NOL3"	"Phenotypic Suppression"
"TNFRSF1A"	"NOL3"	"Phenotypic Suppression"
"FAS"	"NOL3"	"Phenotypic Suppression"
"TNFRSF25"	"NOL3"	"Phenotypic Suppression"
"BMP7"	"SMAD1"	"Phenotypic Suppression"
"LTBR"	"TRAF3"	"Phenotypic Suppression"
"BAG1"	"VDR"	"Phenotypic Enhancement"
"VDR"	"BAG1"	"Phenotypic Suppression"
"PLAU"	"MAP2K1"	"Phenotypic Suppression"
"PLAU"	"HRAS"	"Phenotypic Suppression"
"IL12RB1"	"IL12RB2"	"Phenotypic Enhancement"
"MAPK8"	"MAP2K4"	"Phenotypic Enhancement"
"MAPK8"	"MAP2K7"	"Phenotypic Enhancement"
"ARHGEF12"	"GNA12"	"Phenotypic Enhancement"
"ARHGEF12"	"GNA13"	"Phenotypic Enhancement"
"TEC"	"GNA12"	"Phenotypic Enhancement"
"TEC"	"GNA13"	"Phenotypic Enhancement"
"TEC"	"ARHGEF12"	"Phenotypic Enhancement"
"CCL5"	"CCL2"	"Phenotypic Enhancement"
"POU2AF1"	"SIAH1"	"Phenotypic Suppression"
"MAP3K5"	"PPP5C"	"Phenotypic Suppression"
"TERF1"	"MAPRE1"	"Phenotypic Suppression"
"PITX2"	"MSX2"	"Phenotypic Suppression"
"IL1B"	"MAPK8IP2"	"Phenotypic Suppression"
"KCNJ3"	"KCNJ5"	"Phenotypic Enhancement"
"MYBL2"	"CDK9"	"Phenotypic Suppression"
"MYBL2"	"CCNT1"	"Phenotypic Suppression"
"CDK9"	"CCNT1"	"Phenotypic Suppression"
"TP53"	"CDK9"	"Phenotypic Suppression"
"CRADD"	"CASP2"	"Phenotypic Suppression"
"PABPN1"	"SNW1"	"Phenotypic Enhancement"
"TRAF6"	"ZNF675"	"Phenotypic Suppression"
"TRAF6"	"ZNF675"	"Phenotypic Enhancement"
"TNFSF11"	"ZNF675"	"Phenotypic Suppression"
"IL1B"	"ZNF675"	"Phenotypic Suppression"
"TLR4"	"ECSIT"	"Phenotypic Suppression"
"TNF"	"RAC1"	"Phenotypic Suppression"
"PAX3"	"SOX10"	"Phenotypic Enhancement"
"ELF3"	"ERBB2"	"Synthetic Rescue"
"IL1B"	"UBE2N"	"Phenotypic Suppression"
"TNF"	"UBE2N"	"Phenotypic Suppression"
"TRAF6"	"UBE2N"	"Phenotypic Suppression"
"TRAF2"	"UBE2N"	"Phenotypic Suppression"
"MAP3K7"	"TAB1"	"Phenotypic Enhancement"
"TIRAP"	"MYD88"	"Phenotypic Suppression"
"MYD88"	"IRAK1"	"Phenotypic Suppression"
"TIRAP"	"IRAK2"	"Phenotypic Suppression"
"TIRAP"	"TRAF6"	"Phenotypic Suppression"
"TIRAP"	"MAP3K7"	"Phenotypic Suppression"
"MYD88"	"IRAK2"	"Phenotypic Suppression"
"MYD88"	"TRAF6"	"Phenotypic Suppression"
"MYD88"	"MAP3K7"	"Phenotypic Suppression"
"TLR4"	"MYD88"	"Phenotypic Suppression"
"TLR4"	"TIRAP"	"Phenotypic Suppression"
"IL1RAP"	"TIRAP"	"Phenotypic Enhancement"
"IL1RAP"	"MYD88"	"Phenotypic Suppression"
"ACTL6B"	"CTBP1"	"Phenotypic Enhancement"
"SNW1"	"NCOA2"	"Phenotypic Enhancement"
"SNW1"	"NCOA1"	"Phenotypic Enhancement"
"SNW1"	"NCOA1"	"Phenotypic Suppression"
"ZBTB16"	"FHL2"	"Phenotypic Enhancement"
"ZBTB16"	"FHL2"	"Phenotypic Suppression"
"ZBTB16"	"FHL3"	"Phenotypic Enhancement"
"NPHS1"	"MAP2K4"	"Phenotypic Suppression"
"NPHS1"	"MAP2K3"	"Phenotypic Suppression"
"NPHS1"	"MAP2K6"	"Phenotypic Suppression"
"MAP2K3"	"MAP2K6"	"Phenotypic Enhancement"
"NCOA1"	"THRB"	"Phenotypic Enhancement"
"YAP1"	"SMAD7"	"Phenotypic Enhancement"
"GLI1"	"SAP18"	"Phenotypic Suppression"
"GLI3"	"SAP18"	"Phenotypic Enhancement"
"MUS81"	"TERT"	"Synthetic Rescue"
"PEX11A"	"DNM1L"	"Phenotypic Enhancement"
"PEX11B"	"DNM1L"	"Phenotypic Enhancement"
"PEX11G"	"DNM1L"	"Phenotypic Enhancement"
"PEX11A"	"FIS1"	"Phenotypic Suppression"
"PEX11B"	"FIS1"	"Phenotypic Suppression"
"PEX11G"	"FIS1"	"Phenotypic Suppression"
"WRN"	"POT1"	"Phenotypic Enhancement"
"STAT3"	"NFKBIZ"	"Phenotypic Suppression"
"TRAF3"	"SMURF1"	"Phenotypic Suppression"
"TRAF4"	"SMURF1"	"Phenotypic Suppression"
"TRAF2"	"SMURF1"	"Phenotypic Suppression"
"TRAF5"	"SMURF1"	"Phenotypic Suppression"
"TRAF6"	"SMURF1"	"Phenotypic Suppression"
"CTNNB1"	"EP300"	"Phenotypic Enhancement"
"RASA1"	"NFKBIA"	"Phenotypic Suppression"
"RASA1"	"BTRC"	"Phenotypic Suppression"
"HJURP"	"CENPA"	"Phenotypic Enhancement"
"HSP90AA1"	"AHSA1"	"Dosage Rescue"
"CDKN1A"	"CDKN1B"	"Phenotypic Enhancement"
"PRKCZ"	"TFF1"	"Phenotypic Enhancement"
"NCOA3"	"TFF1"	"Phenotypic Enhancement"
"ESR1"	"TFF1"	"Phenotypic Enhancement"
"HEY1"	"NOTCH1"	"Negative Genetic"
"HEY2"	"NOTCH1"	"Negative Genetic"
"DNMT1"	"DNMT3B"	"Phenotypic Suppression"
"RXRA"	"NR4A1"	"Phenotypic Enhancement"
"HNF4A"	"HNF4A"	"Phenotypic Suppression"
"NOTCH1"	"APP"	"Phenotypic Suppression"
"NOTCH1"	"APBB1"	"Phenotypic Suppression"
"NOTCH1"	"KAT5"	"Phenotypic Suppression"
"NCOA3"	"MYOCD"	"Phenotypic Enhancement"
"KDM5D"	"HIST3H3"	"Phenotypic Enhancement"
"NCOA3"	"CEBPA"	"Phenotypic Enhancement"
"NCOA3"	"CEBPD"	"Phenotypic Enhancement"
"GRIP1"	"CTNNB1"	"Phenotypic Enhancement"
"CALCOCO1"	"CTNNB1"	"Phenotypic Enhancement"
"MERTK"	"ITGB5"	"Phenotypic Enhancement"
"CDK2"	"MITF"	"Dosage Rescue"
"ANXA1"	"ANXA1"	"Dosage Rescue"
"CCND1"	"ITLN1"	"Dosage Rescue"
"BCL2"	"ITLN1"	"Dosage Rescue"
"MYC"	"ADRBK2"	"Dosage Lethality"
"MYC"	"ALDOA"	"Dosage Lethality"
"MYC"	"ALPK1"	"Dosage Lethality"
"MYC"	"AIFM2"	"Dosage Lethality"
"MYC"	"NECAB3"	"Dosage Lethality"
"MYC"	"SPEG"	"Dosage Lethality"
"MYC"	"ARFGEF2"	"Dosage Lethality"
"MYC"	"SNRNP200"	"Dosage Lethality"
"MYC"	"ATP5D"	"Dosage Lethality"
"MYC"	"BMPR1A"	"Dosage Lethality"
"MYC"	"BNIP2"	"Dosage Lethality"
"MYC"	"BOK"	"Dosage Lethality"
"MYC"	"BRD4"	"Dosage Lethality"
"MYC"	"BTK"	"Dosage Lethality"
"MYC"	"C17orf49"	"Dosage Lethality"
"MYC"	"FAM131C"	"Dosage Lethality"
"MYC"	"CAMK1G"	"Dosage Lethality"
"MYC"	"CAMK2D"	"Dosage Lethality"
"MYC"	"CAMK2G"	"Dosage Lethality"
"MYC"	"CCNK"	"Dosage Lethality"
"MYC"	"CDH5"	"Dosage Lethality"
"MYC"	"CDK2"	"Dosage Lethality"
"MYC"	"CECR2"	"Dosage Lethality"
"MYC"	"CPS1"	"Dosage Lethality"
"MYC"	"CRADD"	"Dosage Lethality"
"MYC"	"CDK12"	"Dosage Lethality"
"MYC"	"CSNK1E"	"Dosage Lethality"
"MYC"	"CTPS1"	"Dosage Lethality"
"MYC"	"CTSD"	"Dosage Lethality"
"MYC"	"CXXC1"	"Dosage Lethality"
"MYC"	"DDB2"	"Dosage Lethality"
"MYC"	"EFNA5"	"Dosage Lethality"
"MYC"	"FBXO5"	"Dosage Lethality"
"MYC"	"GLI1"	"Dosage Lethality"
"MYC"	"GNRHR"	"Dosage Lethality"
"MYC"	"GRK1"	"Dosage Lethality"
"MYC"	"GSG2"	"Dosage Lethality"
"MYC"	"GTF2H4"	"Dosage Lethality"
"MYC"	"HCK"	"Dosage Lethality"
"MYC"	"HECTD3"	"Dosage Lethality"
"MYC"	"HPS1"	"Dosage Lethality"
"MYC"	"HSD17B4"	"Dosage Lethality"
"MYC"	"ICT1"	"Dosage Lethality"
"MYC"	"IGF2R"	"Dosage Lethality"
"MYC"	"IRS2"	"Dosage Lethality"
"MYC"	"ITGB5"	"Dosage Lethality"
"MYC"	"KIF18A"	"Dosage Lethality"
"MYC"	"LATS1"	"Dosage Lethality"
"MYC"	"LIMK2"	"Dosage Lethality"
"MYC"	"MAP2K3"	"Dosage Lethality"
"MYC"	"MAP2K7"	"Dosage Lethality"
"MYC"	"MAP3K13"	"Dosage Lethality"
"MYC"	"MATK"	"Dosage Lethality"
"MYC"	"MCL1"	"Dosage Lethality"
"MYC"	"CENPO"	"Dosage Lethality"
"MYC"	"MYLK3"	"Dosage Lethality"
"MYC"	"MYLK"	"Dosage Lethality"
"MYC"	"MYO3B"	"Dosage Lethality"
"MYC"	"NEIL1"	"Dosage Lethality"
"MYC"	"NEK2"	"Dosage Lethality"
"MYC"	"NQO2"	"Dosage Lethality"
"MYC"	"NR1H3"	"Dosage Lethality"
"MYC"	"NTRK1"	"Dosage Lethality"
"MYC"	"PAK6"	"Dosage Lethality"
"MYC"	"PBK"	"Dosage Lethality"
"MYC"	"PCBD1"	"Dosage Lethality"
"MYC"	"PDK1"	"Dosage Lethality"
"MYC"	"PES1"	"Dosage Lethality"
"MYC"	"PI4KB"	"Dosage Lethality"
"MYC"	"PKN1"	"Dosage Lethality"
"MYC"	"POLA1"	"Dosage Lethality"
"MYC"	"POLH"	"Dosage Lethality"
"MYC"	"POLR2E"	"Dosage Lethality"
"MYC"	"POLR2I"	"Dosage Lethality"
"MYC"	"PRC1"	"Dosage Lethality"
"MYC"	"PSMC2"	"Dosage Lethality"
"MYC"	"PTP4A2"	"Dosage Lethality"
"MYC"	"PTPN9"	"Dosage Lethality"
"MYC"	"RAD21"	"Dosage Lethality"
"MYC"	"RASGRF1"	"Dosage Lethality"
"MYC"	"RASSF7"	"Dosage Lethality"
"MYC"	"REV1"	"Dosage Lethality"
"MYC"	"SCYL1"	"Dosage Lethality"
"MYC"	"SDC4"	"Dosage Lethality"
"MYC"	"SH3KBP1"	"Dosage Lethality"
"MYC"	"SLC1A4"	"Dosage Lethality"
"MYC"	"SLC25A26"	"Dosage Lethality"
"MYC"	"SULF2"	"Dosage Lethality"
"MYC"	"SULT1A2"	"Dosage Lethality"
"MYC"	"SUV39H1"	"Dosage Lethality"
"MYC"	"TIE1"	"Dosage Lethality"
"MYC"	"TRIB1"	"Dosage Lethality"
"MYC"	"TRIP13"	"Dosage Lethality"
"MYC"	"TRRAP"	"Dosage Lethality"
"MYC"	"TXK"	"Dosage Lethality"
"MYC"	"UBE2I"	"Dosage Lethality"
"MYC"	"HAUS7"	"Dosage Lethality"
"MYC"	"WEE1"	"Dosage Lethality"
"MYC"	"WEE2"	"Dosage Lethality"
"MYC"	"WNK1"	"Dosage Lethality"
"MYC"	"YES1"	"Dosage Lethality"
"CSNK1E"	"MYCN"	"Synthetic Growth Defect"
"AKAP12"	"HDAC7"	"Synthetic Rescue"
"HDAC1"	"RUNX2"	"Phenotypic Enhancement"
"LIN28A"	"DOT1L"	"Phenotypic Suppression"
"NANOG"	"DOT1L"	"Phenotypic Suppression"
"TFAP2C"	"MYC"	"Phenotypic Enhancement"
"TFAP2C"	"KDM5B"	"Phenotypic Enhancement"
"ATF6"	"SP1"	"Phenotypic Enhancement"
"MAP1B"	"MARCH5"	"Synthetic Rescue"
"CDKN1A"	"TP63"	"Synthetic Rescue"
"TP53"	"TP63"	"Synthetic Rescue"
"RBL2"	"TP63"	"Synthetic Rescue"
"MDM2"	"TP53"	"Phenotypic Suppression"
"PARK2"	"PINK1"	"Phenotypic Suppression"
"PARK2"	"SNCA"	"Phenotypic Suppression"
"PARK2"	"GPR37"	"Phenotypic Suppression"
"PARK2"	"SNCA"	"Phenotypic Suppression"
"SIN3A"	"SNCA"	"Phenotypic Suppression"
"PARK7"	"PPARGC1A"	"Phenotypic Enhancement"
"CARM1"	"RABGAP1"	"Phenotypic Suppression"
"EEF1A1"	"RGS12"	"Phenotypic Suppression"
"MRE11A"	"CDC45"	"Synthetic Growth Defect"
"MRE11A"	"POLA1"	"Synthetic Growth Defect"
"MRE11A"	"GINS1"	"Synthetic Growth Defect"
"MRE11A"	"MCM2"	"Synthetic Growth Defect"
"MAPKAPK2"	"CHEK1"	"Phenotypic Suppression"
"FUS"	"UPF1"	"Dosage Rescue"
"MYCBP2"	"ROBO2"	"Phenotypic Suppression"
"TIMP3"	"AGTR2"	"Dosage Lethality"
"TIMP3"	"AGTR2"	"Phenotypic Enhancement"
"CDKN1A"	"RNF114"	"Phenotypic Suppression"
"LGR4"	"ZNRF3"	"Phenotypic Enhancement"
"CTNNB1"	"KCTD1"	"Phenotypic Suppression"
"WNT3A"	"KCTD1"	"Phenotypic Suppression"
"KCTD1"	"APC"	"Phenotypic Suppression"
"OTUB1"	"NMRAL1"	"Phenotypic Suppression"
"PSMD9"	"CHUK"	"Phenotypic Suppression"
"TNF"	"CHUK"	"Phenotypic Suppression"
"TNF"	"PSMD9"	"Phenotypic Suppression"
"PSMD9"	"TNF"	"Phenotypic Enhancement"
"HNRNPA1"	"TNF"	"Phenotypic Enhancement"
"FBXW7"	"YAP1"	"Phenotypic Suppression"
"TP53"	"NLK"	"Phenotypic Enhancement"
"TP53"	"DNAJC7"	"Phenotypic Enhancement"
"TP53"	"DNAJC7"	"Synthetic Growth Defect"
"TP53"	"XAF1"	"Phenotypic Enhancement"
"SIAH2"	"XAF1"	"Phenotypic Suppression"
"XAF1"	"HIPK2"	"Phenotypic Suppression"
"TYK2"	"SIVA1"	"Phenotypic Enhancement"
"FOXP3"	"SIVA1"	"Phenotypic Enhancement"
"RASSF1"	"E4F1"	"Phenotypic Enhancement"
"CYLD"	"MAPRE1"	"Phenotypic Enhancement"
"CENPJ"	"CREBBP"	"Phenotypic Enhancement"
"BRCA1"	"SETX"	"Synthetic Growth Defect"
"BRCA1"	"TCEANC"	"Synthetic Growth Defect"
"BRCA1"	"TCEA2"	"Synthetic Growth Defect"
"BRCA1"	"TONSL"	"Synthetic Growth Defect"
"TONSL"	"BRCA1"	"Synthetic Growth Defect"
"BRCA1"	"SSRP1"	"Synthetic Growth Defect"
"BRCA1"	"SUPT16H"	"Synthetic Growth Defect"
"EP300"	"CTNNB1"	"Phenotypic Enhancement"
"EP300"	"FLII"	"Phenotypic Suppression"
"EPS15L1"	"AGFG2"	"Phenotypic Enhancement"
"EPS15"	"AGFG2"	"Phenotypic Enhancement"
"HDAC1"	"MAP1LC3B"	"Synthetic Rescue"
"ARHGEF11"	"GNA12"	"Phenotypic Enhancement"
"ARHGEF11"	"GNA13"	"Phenotypic Enhancement"
"SMARCA4"	"HDAC1"	"Phenotypic Suppression"
"AXIN1"	"TP53"	"Phenotypic Suppression"
"FUS"	"UPF2"	"Dosage Rescue"
"FUS"	"UPF3A"	"Dosage Rescue"
"RELA"	"CREBBP"	"Phenotypic Enhancement"
"RELA"	"AR"	"Phenotypic Suppression"
"AR"	"RELA"	"Phenotypic Suppression"
"ELF3"	"MED23"	"Phenotypic Suppression"
"MYOCD"	"NCOA3"	"Phenotypic Suppression"
"BAX"	"SEPT7"	"Dosage Rescue"
"BAX"	"YWHAQ"	"Dosage Rescue"
"STRAP"	"SMAD3"	"Phenotypic Suppression"
"TGFBR1"	"TGFBR2"	"Phenotypic Enhancement"
"SMAD3"	"STRAP"	"Phenotypic Suppression"
"PIK3R5"	"PIK3CG"	"Phenotypic Enhancement"
"PIK3R5"	"GNB1"	"Phenotypic Enhancement"
"PIK3R5"	"GNG2"	"Phenotypic Enhancement"
"PIK3CG"	"GNB1"	"Phenotypic Enhancement"
"PIK3CG"	"GNG2"	"Phenotypic Enhancement"
"FPR1"	"PIK3CG"	"Phenotypic Enhancement"
"FPR1"	"PIK3R5"	"Phenotypic Enhancement"
"RNF4"	"NCOA1"	"Phenotypic Enhancement"
"RNF4"	"TBP"	"Phenotypic Enhancement"
"BLM"	"AQR"	"Synthetic Growth Defect"
"PTTG1"	"DHFR"	"Synthetic Growth Defect"
"BLM"	"VCP"	"Synthetic Growth Defect"
"KRAS"	"THOC1"	"Synthetic Growth Defect"
"BLM"	"MMS22L"	"Synthetic Growth Defect"
"KRAS"	"TAF1"	"Synthetic Growth Defect"
"KRAS"	"MAP2K1"	"Synthetic Growth Defect"
"BLM"	"ELK4"	"Synthetic Growth Defect"
"BLM"	"RPS14"	"Synthetic Growth Defect"
"BLM"	"ICK"	"Synthetic Growth Defect"
"BLM"	"XIAP"	"Synthetic Growth Defect"
"BLM"	"SNRNP200"	"Synthetic Growth Defect"
"BLM"	"POU3F3"	"Synthetic Growth Defect"
"BLM"	"SUPT5H"	"Synthetic Growth Defect"
"BLM"	"RPS27A"	"Synthetic Growth Defect"
"BLM"	"ACTR5"	"Synthetic Growth Defect"
"BLM"	"RPL37"	"Synthetic Growth Defect"
"BLM"	"RAD23B"	"Synthetic Growth Defect"
"BLM"	"TRIM15"	"Synthetic Growth Defect"
"BLM"	"TRIM8"	"Synthetic Growth Defect"
"BLM"	"RAD51"	"Synthetic Growth Defect"
"BLM"	"TREX2"	"Synthetic Growth Defect"
"BLM"	"RPL14"	"Synthetic Growth Defect"
"BLM"	"RREB1"	"Synthetic Growth Defect"
"BLM"	"RPL7"	"Synthetic Growth Defect"
"BLM"	"ALDH3B1"	"Synthetic Growth Defect"
"BLM"	"RPS19"	"Synthetic Growth Defect"
"BLM"	"MORF4L2"	"Synthetic Growth Defect"
"BLM"	"HIST1H2AI"	"Synthetic Growth Defect"
"BLM"	"NDUFA13"	"Synthetic Growth Defect"
"BLM"	"KLF16"	"Synthetic Growth Defect"
"BLM"	"CSNK2B"	"Synthetic Growth Defect"
"BLM"	"CARS2"	"Synthetic Growth Defect"
"BLM"	"AKR1B1"	"Synthetic Growth Defect"
"BLM"	"RAMP1"	"Synthetic Growth Defect"
"BLM"	"PSMD1"	"Synthetic Growth Defect"
"BLM"	"HES5"	"Synthetic Growth Defect"
"BLM"	"RPL23A"	"Synthetic Growth Defect"
"BLM"	"URI1"	"Synthetic Growth Defect"
"BLM"	"CEBPD"	"Synthetic Growth Defect"
"KRAS"	"PRPF31"	"Synthetic Growth Defect"
"KRAS"	"JMJD4"	"Synthetic Growth Defect"
"KRAS"	"KMT2E"	"Synthetic Growth Defect"
"KRAS"	"MTNR1A"	"Synthetic Growth Defect"
"KRAS"	"DIRAS3"	"Synthetic Growth Defect"
"KRAS"	"RPS19"	"Synthetic Growth Defect"
"KRAS"	"ZNF764"	"Synthetic Growth Defect"
"KRAS"	"SVIL"	"Synthetic Growth Defect"
"KRAS"	"RNFT1"	"Synthetic Growth Defect"
"KRAS"	"KDM5B"	"Synthetic Growth Defect"
"KRAS"	"CD83"	"Synthetic Growth Defect"
"KRAS"	"CWC22"	"Synthetic Growth Defect"
"KRAS"	"MFHAS1"	"Synthetic Growth Defect"
"KRAS"	"TTC27"	"Synthetic Growth Defect"
"KRAS"	"NXT2"	"Synthetic Growth Defect"
